zipCode,city,state,rate,dropOffCharge,dropOffChargeOffhour,dropOffChargeWeekend,dropOffChargeHoliday
91224,La Crescenta,CA,210,,,,
90631,La Habra,CA,195,50,,,
90632,La Habra,CA,195,50,,,
90633,La Habra,CA,195,50,,,
92037,La Jolla,CA,450,,,,
92038,La Jolla,CA,450,,,,
92039,La Jolla,CA,450,,,,
92092,La Jolla,CA,450,,,,
92093,La Jolla,CA,450,,,,
91941,La Mesa,CA,,,,,
91942,La Mesa,CA,,,,,
91943,La Mesa,CA,,,,,
91944,La Mesa,CA,,,,,
90637,La Mirada,CA,185,,,,
90638,La Mirada,CA,185,,,,
90639,La Mirada,CA,185,,,,
90623,La Palma,CA,185,,,,
91744,La Puente,CA,205,,,,
91746,La Puente,CA,205,,,,
91747,La Puente,CA,205,,,,
91749,La Puente,CA,205,,,,
92247,La Quinta,CA,,,,,
92248,La Quinta,CA,,,,,
92253,La Quinta,CA,,,,,
91750,La Verne,CA,220,40,,,
92694,Ladera Ranch ,CA,,,,,
92651,Laguna Beach,CA,280,90,,,
92652,Laguna Beach,CA,280,90,,,
92637,Laguna Hills,CA,280,90,,,
92653,Laguna Hills,CA,280,90,,,
92654,Laguna Hills,CA,280,90,,,
92607,Laguna Niguel,CA,260,,,,
92677,Laguna Niguel,CA,260,,,,
92637,Laguna Woods ,CA,,,,,
92352,Lake Arrowhead,CA,,,,,
92530,Lake Elsinore,CA,330,,,,
92531,Lake Elsinore,CA,330,,,,
92532,Lake Elsinore,CA,330,,,,
92630,Lake Forest,CA,220,70,,,
93532,Lake Hughes,CA,,,,,
91361,Lake Sherwood,CA,,,,,
92040,Lakeside,CA,420,,,,
90711,Lakewood,CA,180,,,,
90712,Lakewood,CA,180,,,,
90713,Lakewood,CA,180,,,,
90714,Lakewood,CA,180,,,,
90715,Lakewood,CA,180,,,,
93534,Lancaster,CA,390,,,,
93535,Lancaster,CA,390,,,,
93536,Lancaster,CA,390,,,,
93539,Lancaster,CA,390,,,,
93584,Lancaster,CA,390,,,,
93586,Lancaster,CA,390,,,,
92285,Landers,CA,,,,,
90260,Lawndale,CA,165,,,,
90261,Lawndale,CA,165,,,,
91945,Lemon Grove,CA,,,,,
91946,Lemon Grove,CA,,,,,
93543,Littlerock,CA,,,,,
93544,Llano,CA,,,,,
92350,Loma Linda,CA,325,,,,
92354,Loma Linda,CA,325,,,,
92357,Loma Linda,CA,325,,,,
90717,Lomita,CA,150,,,,
93436,Lompoc,CA,550,,,,
93437,Lompoc,CA,550,,,,
93438,Lompoc,CA,550,,,,
90801,Long Beach,CA,150,,,,
90802,Long Beach,CA,150,,,,
90803,Long Beach,CA,150,,,,
90804,Long Beach,CA,150,,,,
90805,Long Beach,CA,150,,,,
90806,Long Beach,CA,150,,,,
90807,Long Beach,CA,150,,,,
90808,Long Beach,CA,150,,,,
90809,Long Beach,CA,150,,,,
90810,Long Beach,CA,150,,,,
90813,Long Beach,CA,150,,,,
90814,Long Beach,CA,150,,,,
90815,Long Beach,CA,150,,,,
90822,Long Beach,CA,150,,,,
90831,Long Beach,CA,150,,,,
90832,Long Beach,CA,150,,,,
90833,Long Beach,CA,150,,,,
90834,Long Beach,CA,150,,,,
90835,Long Beach,CA,150,,,,
90840,Long Beach,CA,150,,,,
90842,Long Beach,CA,150,,,,
90844,Long Beach,CA,150,,,,
90846,Long Beach,CA,150,,,,
90847,Long Beach,CA,150,,,,
90848,Long Beach,CA,150,,,,
90853,Long Beach,CA,150,,,,
90899,Long Beach,CA,150,,,,
90720,Los Alamitos,CA,185,,,,
90721,Los Alamitos,CA,185,,,,
93440,Los Alamos,CA,190,,,,
90001,Los Angeles,CA,190,,,,
90002,Los Angeles,CA,190,,,,
90003,Los Angeles,CA,190,,,,
90004,Los Angeles,CA,190,,,,
90005,Los Angeles,CA,190,,,,
90006,Los Angeles,CA,190,,,,
90007,Los Angeles,CA,190,,,,
90008,Los Angeles,CA,190,,,,
90009,Los Angeles,CA,190,,,,
90010,Los Angeles,CA,190,,,,
90011,Los Angeles,CA,190,,,,
90012,Los Angeles,CA,190,,,,
90013,Los Angeles,CA,190,,,,
90014,Los Angeles,CA,190,,,,
90015,Los Angeles,CA,190,,,,
90016,Los Angeles,CA,190,,,,
90017,Los Angeles,CA,190,,,,
90018,Los Angeles,CA,190,,,,
90019,Los Angeles,CA,190,,,,
